lat,lon,risk,row,col
1118603.3428608703,655489.469215034,1.0,375,1855
1118593.3428608703,655479.469215034,1.0,376,1854
1118593.3428608703,655489.469215034,1.0,376,1855
1118583.3428608703,655479.469215034,1.0,377,1854
1118583.3428608703,655489.469215034,1.0,377,1855
1118573.3428608703,648599.469215034,1.0,378,1166
1118573.3428608703,648609.469215034,1.0,378,1167
1118573.3428608703,648619.469215034,1.0,378,1168
1118573.3428608703,655479.469215034,1.0,378,1854
1118573.3428608703,655489.469215034,1.0,378,1855
1118563.3428608703,648599.469215034,1.0,379,1166
1118563.3428608703,648609.469215034,1.0,379,1167
1118563.3428608703,655479.469215034,1.0,379,1854
1118553.3428608703,648599.469215034,1.0,380,1166
1118553.3428608703,648609.469215034,1.0,380,1167
1118553.3428608703,655479.469215034,1.0,380,1854
1118543.3428608703,655479.469215034,1.0,381,1854
1118533.3428608703,655479.469215034,1.0,382,1854
1118523.3428608703,655489.469215034,1.0,383,1855
1118493.3428608703,655509.469215034,1.0,386,1857
1118463.3428608703,650099.469215034,1.0,389,1316
1118443.3428608703,655509.469215034,1.0,391,1857
1118433.3428608703,650049.469215034,1.0,392,1311
1118433.3428608703,650059.469215034,1.0,392,1312
1118433.3428608703,650069.469215034,1.0,392,1313
1118433.3428608703,655509.469215034,1.0,392,1857
1118433.3428608703,655519.469215034,1.0,392,1858
1118423.3428608703,650059.469215034,1.0,393,1312
1118423.3428608703,655509.469215034,1.0,393,1857
1118423.3428608703,655519.469215034,1.0,393,1858
1118413.3428608703,650039.469215034,1.0,394,1310
1118413.3428608703,650049.469215034,1.0,394,1311
1118413.3428608703,650059.469215034,1.0,394,1312
1118413.3428608703,655509.469215034,1.0,394,1857
1118403.3428608703,650029.469215034,1.0,395,1309
1118403.3428608703,650039.469215034,1.0,395,1310
1118393.3428608703,650029.469215034,1.0,396,1309
1118383.3428608703,650019.469215034,1.0,397,1308
1118383.3428608703,650029.469215034,1.0,397,1309
1118363.3428608703,654809.469215034,1.0,399,1787
1118353.3428608703,654799.469215034,1.0,400,1786
1118353.3428608703,654809.469215034,1.0,400,1787
1118343.3428608703,654789.469215034,1.0,401,1785
1118343.3428608703,654799.469215034,1.0,401,1786
1118343.3428608703,654809.469215034,1.0,401,1787
1118343.3428608703,654819.469215034,1.0,401,1788
1118273.3428608703,650009.469215034,1.0,408,1307
1118263.3428608703,650009.469215034,1.0,409,1307
